"Run" "Method" "K" "BalancedAccuracy"
"447" 47 "Dice" "K=7" 0.767319968527952
"448" 48 "Dice" "K=7" 0.797475459240165
"449" 49 "Dice" "K=7" 0.742956081081081
"450" 50 "Dice" "K=7" 0.892219235364397
"451" 1 "PageRank" "K=7" 0.714899400620463
"452" 2 "PageRank" "K=7" 0.806941245397681
"453" 3 "PageRank" "K=7" 0.781216931216931
"454" 4 "PageRank" "K=7" 0.797912642912643
"455" 5 "PageRank" "K=7" 0.803780103995621
"456" 6 "PageRank" "K=7" 0.810863095238095
"457" 7 "PageRank" "K=7" 0.797740879977722
"458" 8 "PageRank" "K=7" 0.985491071428571
"459" 9 "PageRank" "K=7" 0.808341940455112
"460" 10 "PageRank" "K=7" 0.915076300790587
"461" 11 "PageRank" "K=7" 0.741666666666667
"462" 12 "PageRank" "K=7" 0.806034657597158
"463" 13 "PageRank" "K=7" 0.756173023974882
"464" 14 "PageRank" "K=7" 0.65314384863257
"465" 15 "PageRank" "K=7" 0.776681096681097
"466" 16 "PageRank" "K=7" 0.812937902433701
"467" 17 "PageRank" "K=7" 0.708148476782017
"468" 18 "PageRank" "K=7" 0.64812030075188
"469" 19 "PageRank" "K=7" 0.885185185185185
"470" 20 "PageRank" "K=7" 0.753825536062378
"471" 21 "PageRank" "K=7" 0.803668003882465
"472" 22 "PageRank" "K=7" 0.686828087074392
"473" 23 "PageRank" "K=7" 0.823475260975261
"474" 24 "PageRank" "K=7" 0.809875641493289
"475" 25 "PageRank" "K=7" 0.875684680096445
"476" 26 "PageRank" "K=7" 0.797722630718954
"477" 27 "PageRank" "K=7" 0.744601889338732
"478" 28 "PageRank" "K=7" 0.715860537735538
"479" 29 "PageRank" "K=7" 0.774386750679044
"480" 30 "PageRank" "K=7" 0.868492618492618
"481" 31 "PageRank" "K=7" 0.866860779399479
"482" 32 "PageRank" "K=7" 0.707675526350891
"483" 33 "PageRank" "K=7" 0.74535847035847
"484" 34 "PageRank" "K=7" 0.736444937382437
"485" 35 "PageRank" "K=7" 0.810136458573959
"486" 36 "PageRank" "K=7" 0.842903381732239
"487" 37 "PageRank" "K=7" 0.934349133009847
"488" 38 "PageRank" "K=7" 0.917584131225019
"489" 39 "PageRank" "K=7" 0.808337349448191
"490" 40 "PageRank" "K=7" 0.673927461427461
"491" 41 "PageRank" "K=7" 0.745176153010839
"492" 42 "PageRank" "K=7" 0.688350340136054
"493" 43 "PageRank" "K=7" 0.849186130476453
"494" 44 "PageRank" "K=7" 0.705834165834166
"495" 45 "PageRank" "K=7" 0.7378125
"496" 46 "PageRank" "K=7" 0.864625672653808
"497" 47 "PageRank" "K=7" 0.636861213783759
"498" 48 "PageRank" "K=7" 0.792087085730349
"499" 49 "PageRank" "K=7" 0.753042328042328
"500" 50 "PageRank" "K=7" 0.837698412698413
"501" 1 "TopKGraphs" "K=10" 0.801981460146783
"502" 2 "TopKGraphs" "K=10" 0.86427008205259
"503" 3 "TopKGraphs" "K=10" 0.924690860215054
"504" 4 "TopKGraphs" "K=10" 0.875959597338652
"505" 5 "TopKGraphs" "K=10" 0.951693955860623
"506" 6 "TopKGraphs" "K=10" 0.894694121667806
"507" 7 "TopKGraphs" "K=10" 0.903741894366894
"508" 8 "TopKGraphs" "K=10" 0.895890079962661
"509" 9 "TopKGraphs" "K=10" 0.826614329942503
"510" 10 "TopKGraphs" "K=10" 0.9084982115842
"511" 11 "TopKGraphs" "K=10" 0.804956742456743
"512" 12 "TopKGraphs" "K=10" 0.74893951833607
"513" 13 "TopKGraphs" "K=10" 0.900331185105621
"514" 14 "TopKGraphs" "K=10" 0.73803314060667
